name,sku,level1,level2,level3
1110 ARC-01,7861110000013,85,80,75
1110 ARC-02,7861110000020,85,80,75
1110 ARC-03,7861110000037,85,80,75
1110 ARC-04,7861110000044,85,80,75
1110 ARC-05,7861110000051,85,80,75
1110 ARC-06,7861110000068,85,80,75
1110 ARC-07,7861110000075,85,80,75
1110 ARC-08,7861110000082,85,80,75
1110 ARC-09,7861110000099,85,80,75
